client_id	path	sentence	up_votes	down_votes	age	gender	accents	locale	segment
d1d7a3ec14a83bfc4f6166e98364a7193d5f67a6090dad5f5b28015af4caeffff5b70231a61e62d39629b50db66c1238dbb24c25c926644860ab53921a8a3c35	common_voice_ja_31833574.mp3	しかして超越的一者に対することによって自己が自己であるということは、	1	2	twenties	male		ja	
e031a5fb3ee7e4c456efa43f747ec6f2647c22e156e111f59dd3d0f0cf90b76ef76448e1e89fb48e90cb00515e19e516bd05e9e9ff40e8e547f8b841cfffe750	common_voice_ja_31866045.mp3	いわば過去から未来への間に意識的切断面を有つ世界である。	2	4			高校時代から日本語を勉強しています。広東語のアクセントがある場合があります。	ja	
e5689aea6ff38ae184913aa9e34c2c69a05252f2fb746cc6ab9d631177dcb286024e2767aaf042b63f3891f6102ea15237aa2325061d02f49789398eec16abf4	common_voice_ja_31923191.mp3	中学、高校で成績優秀。	7	14	fourties	male	kansai,osaka,kyoto,関西,大阪,京都	ja	
e5689aea6ff38ae184913aa9e34c2c69a05252f2fb746cc6ab9d631177dcb286024e2767aaf042b63f3891f6102ea15237aa2325061d02f49789398eec16abf4	common_voice_ja_31939575.mp3	対人要素のあるネトゲはこりごり	7	14	fourties	male	kansai,osaka,kyoto,関西,大阪,京都	ja	
b6f95d9fd6665d5c9da7108a3cc53fee9a25deaf0419824ee89bb3a97bfb33fc63d4052c3b5b6e5a029c274746ea30ea6bd81ed491926e7ed51eb265e9173bf1	common_voice_ja_32091513.mp3	自己自身を形成する世界の生産様式を把握し行くのが、具体的論理である。	1	2				ja	
b6f95d9fd6665d5c9da7108a3cc53fee9a25deaf0419824ee89bb3a97bfb33fc63d4052c3b5b6e5a029c274746ea30ea6bd81ed491926e7ed51eb265e9173bf1	common_voice_ja_32091517.mp3	それで終わり。掃除機のスイッチを入れて埃を吸い込むように、みんな消えていった。	1	2				ja	
b6f95d9fd6665d5c9da7108a3cc53fee9a25deaf0419824ee89bb3a97bfb33fc63d4052c3b5b6e5a029c274746ea30ea6bd81ed491926e7ed51eb265e9173bf1	common_voice_ja_32091518.mp3	サインペンで書かれた名前は掠れていて、シールは剥がれかけている。	0	2				ja	
e5689aea6ff38ae184913aa9e34c2c69a05252f2fb746cc6ab9d631177dcb286024e2767aaf042b63f3891f6102ea15237aa2325061d02f49789398eec16abf4	common_voice_ja_32097362.mp3	こんなんでも食べると満足感ある	0	14	fourties	male	kansai,osaka,kyoto,関西,大阪,京都	ja	
e5689aea6ff38ae184913aa9e34c2c69a05252f2fb746cc6ab9d631177dcb286024e2767aaf042b63f3891f6102ea15237aa2325061d02f49789398eec16abf4	common_voice_ja_32097373.mp3	目の前に飛んできたフリスビー拾ったら、犬が猛ダッシュでこっち来た	0	14	fourties	male	kansai,osaka,kyoto,関西,大阪,京都	ja	
00a37b424a8681fe2cad0d417eaeb12fba3802ddd67154e301a0852019bbde527803a54009aafa71157343bde0264476ec872fe965fb7ae5683db23a56381317	common_voice_ja_32141235.mp3	計画は、絶対にやり遂げてみせる。	1	2				ja	
e5689aea6ff38ae184913aa9e34c2c69a05252f2fb746cc6ab9d631177dcb286024e2767aaf042b63f3891f6102ea15237aa2325061d02f49789398eec16abf4	common_voice_ja_32158242.mp3	昔はよく古本屋めぐりをしてたなあ	7	14	fourties	male	kansai,osaka,kyoto,関西,大阪,京都	ja	
93544b9aa809a4a70ddcc18867399d4c78e0e37e103249e6d3f3fa345b0cfcccc9241378afd419bc713f7c499d911cf6f6bba7d53d0c6f8df824f48e7a48c7e6	common_voice_ja_32188024.mp3	残った子供、２０歳未満の人間も似たようなものだった。	0	2	twenties	female		ja	
23155b3c9b54685ab85e13f624e6e07bd88f4280ce08d3e2cac43dc044c9aa8ca68d9cf70689d485319e8d91a60b6d25089f57ffb8156d07bff67d67f1a0a8e9	common_voice_ja_32248836.mp3	けれども意味とか目的とか価値とかも、単に主観的なものであり得ず、	3	6	twenties	female	United States English,Non-native	ja	
23155b3c9b54685ab85e13f624e6e07bd88f4280ce08d3e2cac43dc044c9aa8ca68d9cf70689d485319e8d91a60b6d25089f57ffb8156d07bff67d67f1a0a8e9	common_voice_ja_32248837.mp3	かかる行為的直観を離れた時、我々の働きは単に機械的か合目的的たるかに過ぎない。	0	6	twenties	female	United States English,Non-native	ja	
23155b3c9b54685ab85e13f624e6e07bd88f4280ce08d3e2cac43dc044c9aa8ca68d9cf70689d485319e8d91a60b6d25089f57ffb8156d07bff67d67f1a0a8e9	common_voice_ja_32248838.mp3	而して文化はかかる実在の自己形成から成立するのである。	0	6	twenties	female	United States English,Non-native	ja	
b4db3d4f5760f68313ab17a755b2dae2d7e662dad4e521c4a20aa470ed5bf1ea8586cde18f9ec670338dcc3c320858cb69aaead436b5f45f241389b5dc0093b2	common_voice_ja_32270016.mp3	ニュージャージー州の最大都市はニューアークである	1	2				ja	
